Timestamp;Type;ID;Data
11T082554723;1;cf00400;f4dede4028fff0ff
11T082554724;1;18ebff27;03ffff0410ffffff
11T082554724;1;18fef227;7d057e02ffffffff
11T082554726;1;18feca3d;c0ff00000000ffff
11T082554727;1;cef27fd;20fffae1ff00ffff
11T082554731;1;cfe5a2f;1f33330ffff7fcf0
11T082554731;1;c000003;ecffffffffffffff
11T082554732;1;18fe592f;ffffffffd77cdd7c
11T082554733;1;cf00203;cd182800041028ff
11T082554733;1;c00000b;fcffff7dffffffff
11T082554734;1;c001027;fcffff7dffffffff
11T082554734;1;18e4c820;ffffffffffffffff
11T082554735;1;cf00400;f4dede4028fff0ff
11T082554735;1;18f00010;f07d7dfc10ffff1d
11T082554736;1;18f0093e;777d7f877d9f7e7d
11T082554737;1;cef27fd;20fffae1ff00ffff
11T082554737;1;18fe4a03;fffdffffffffffff
11T082554738;1;18febf0b;e6567d7d8483ffff
11T082554738;1;cfe6cee;4b10c0c02c286657
11T082554739;1;1cfec703;fffffffffffc0000
11T082554741;1;c000003;ecffffffffffffff
11T082554742;1;cf00203;cd182800041828ff
11T082554742;1;18f00503;89e80389878988f5
11T082554743;1;cf00300;f0de63fffffff4ff
11T082554743;1;c00000b;fcffff7dffffffff
11T082554744;1;18ebff29;03004b840327ffff
11T082554745;1;c00270b;fcffff7dffffffff
11T082554745;1;cf00400;f4dede1028fff0ff
11T082554746;1;18fe563d;e945ffffffffffff
11T082554746;1;cef27fd;20fffae1ff00ffff
11T082554747;1;cffcafd;c0fffffffffff800
11T082554748;1;18daee17;0322f93800000000
11T082554749;1;c0320c8;ceffee57ffffffff
11T082554751;1;c000003;ecffffffffffffff
11T082554752;1;c002903;10ffffffffffffff
11T082554752;1;cf00203;cdf02700041028ff
11T082554753;1;c00000b;fcffff7dffffffff
11T082554753;1;18fee927;0000000059260800
11T082554754;1;18f0093e;7b7d7f8b7dc77e7d
11T082554755;1;cf00400;f4dede1028fff0ff
11T082554755;1;18febf0b;e9567d7d8483ffff
11T082554756;1;18fef100;439957c40059e03f
11T082554756;1;cef27fd;20fffae1ff00ffff
11T082554759;1;18fec4c8;ced1cf4ff622ffff
11T082554761;1;c000003;ecffffffffffffff
11T082554762;1;cf00203;cd382800040828ff
11T082554763;1;cf013fe;ccfffaffff20440a
11T082554763;1;c00000b;fcffff7dffffffff
11T082554764;1;cf00400;f4dede1028fff0ff
11T082554764;1;18f0010b;0000c0ffff01fff3
11T082554765;1;18fefc21;ffcdffffffffffff
11T082554766;1;cef27fd;20fffae1ff00ffff
11T082554769;1;18fec6c8;7f000000ffffffa1
11T082554771;1;c000003;ecffffffffffffff
11T082554772;1;cf00203;cde8270004f027ff
11T082554773;1;cf00400;f4dede0028fff0ff
11T082554773;1;c00000b;fcffff7dffffffff
11T082554774;1;18f00027;f07dffffffffffff
11T082554774;1;18f0093e;817d7f8f7dff7e7c
11T082554775;1;18febf0b;e6567d7d8383ffff
11T082554776;1;cef27fd;20fffae1ff00ffff
11T082554781;1;c000003;ecffffffffffffff
11T082554782;1;cf00203;cd38280004f827ff
11T082554783;1;c001027;fcffff7dffffffff
11T082554783;1;c00000b;fcffff7dffffffff
11T082554784;1;cf00400;f4dede1028fff0ff
11T082554785;1;cd22f21;7f00f0ffffffffff
11T082554786;1;cd2c821;ff00ffffffffffff
11T082554787;1;cef27fd;20fffae1ff00ffff
11T082554788;1;cfe6cee;4b10c0c03d288057
11T082554789;1;18e520c8;ffffffffffffffff
11T082554791;1;c000003;ecffffffffffffff
11T082554792;1;cf00203;cd40280004f827ff
11T082554793;1;cf00300;f0de64fffffff4ff
11T082554793;1;c00000b;fcffff7dffffffff
11T082554794;1;cf00400;f4dede1028fff0ff
11T082554794;1;18f0093e;877d7f937d377f7c
11T082554795;1;18f00029;f07d7df0fffff048
11T082554795;1;18febf0b;e4567d7d8383ffff
11T082554796;1;18fedf00;82ffffffffffffff
11T082554797;1;c00270b;fcffff7dffffffff
11T082554797;1;cef27fd;20fffae1ff00ffff
11T082554798;1;cffcafd;c0fffffffffff800
11T082554798;1;18da17ee;0562f9380af8ffff
11T082554799;1;18fead0b;00000000ffffffff
11T082554800;1;18fdc40b;03ffffffffffffff
11T082554800;1;18fe4f3e;f400ffffffffffff
11T082554801;1;18fe5cc8;ffffffff30b82eff
11T082554801;1;c000003;ecffffffffffffff
11T082554802;1;c002903;10ffffffffffffff
11T082554803;1;cf00400;f4dede2028fff0ff
11T082554803;1;cf00203;cd082800044828ff
11T082554804;1;c00000b;fcffff7dffffffff
11T082554806;1;cef27fd;20fffae1ff00ffff
11T082554811;1;c000003;ecffffffffffffff
11T082554812;1;cf00203;cd582800046828ff
11T082554813;1;c010305;ccfffaffff20440a
11T082554813;1;c00000b;fcffff7dffffffff
11T082554814;1;cf00400;f4dede5028fff0ff
11T082554814;1;18f0093e;8d7d7f977d6f7f7c
11T082554815;1;18febf0b;d9567d7d8483ffff
11T082554816;1;cef27fd;20fffae1ff00ffff
11T082554821;1;c000003;ecffffffffffffff
11T082554822;1;cf00203;cd382800043828ff
11T082554823;1;cf00400;f4dede5028fff0ff
11T082554823;1;c00000b;fcffff7dffffffff
11T082554824;1;18fef227;79057e02ffffffff
11T082554826;1;cef27fd;20fffae1ff00ffff
11T082554831;1;cfe5a2f;1f33330ffff7fcf0
11T082554831;1;c000003;ecffffffffffffff
11T082554832;1;18fe592f;ffffffffd77ce37c
11T082554832;1;cf00203;cd202800045828ff
11T082554833;1;c00000b;fcffff7dffffffff
11T082554834;1;c001027;fcffff7dffffffff
11T082554834;1;18e4c820;ffffffffffffffff
